time;voltage
16.4654;0.9883
16.4664;0.9883
16.4674;0.9883
16.4684;0.9883
16.4694;0.9883
16.4704;0.9883
16.4714;0.9883
16.4724;0.9883
16.4734;0.9883
16.4744;0.9883
16.4754;0.9883
16.4764;0.9883
16.4774;0.9883
16.4784;0.9883
16.4794;0.9883
16.4804;0.9883
16.4814;0.9883
16.4824;0.9883
16.4834;0.9883
16.4844;0.9883
16.4854;0.9883
16.4864;0.9883
16.4874;0.9883
16.4884;0.9883
16.4894;0.9883
16.4904;0.9883
16.4914;0.9883
16.4924;0.9883
16.4934;0.9883
16.4944;0.9883
16.4954;0.9883
16.4964;0.9883
16.4974;0.9883
16.4984;0.9883
16.4994;0.9883
16.5004;0.9883
16.5014;0.9883
16.5024;0.9883
16.5034;0.9883
16.5044;0.9883
16.5054;0.9883
16.5064;0.9883
16.5074;0.9883
16.5084;0.9883
16.5094;0.9883
16.5104;0.9883
16.5114;0.9883
16.5124;0.9883
16.5134;0.9883
16.5144;0.9883
16.5154;0.9883
16.5164;0.9883
16.5174;0.9883
16.5184;0.9883
16.5194;0.9883
16.5204;0.9883
16.5214;0.9883
16.5224;0.9883
16.5234;0.9883
16.5244;0.9883
16.5254;0.9883
16.5264;0.9883
16.5274;0.9883
16.5284;0.9883
16.5294;0.9883
16.5304;0.9883
16.5314;0.9883
16.5324;0.9883
